Credit_amount,Personal_status,Property_magnitude,Age,Housing,Existing_credits,Job,Own_telephone,Foreign_worker,Class
1516.0,female div/dep/mar,real estate,43.0,own,2,unskilled resident,none,1,1
1473.0,male mar/wid,real estate,39.0,own,1,skilled,yes,1,1
1887.0,male mar/wid,real estate,28.0,own,2,skilled,none,1,1
8648.0,male single,car,27.0,own,2,skilled,yes,1,0
802.0,male single,car,27.0,own,2,unskilled resident,none,1,1
2899.0,male single,car,43.0,own,1,skilled,none,1,1
2039.0,male mar/wid,life insurance,22.0,own,1,skilled,yes,1,0
2197.0,male single,car,43.0,own,2,skilled,yes,1,1
1053.0,male mar/wid,real estate,27.0,own,1,skilled,none,0,1
3235.0,male div/sep,car,26.0,own,1,high qualif/self emp/mgmt,yes,1,1
939.0,male mar/wid,real estate,28.0,own,3,skilled,yes,1,0
1967.0,female div/dep/mar,car,20.0,own,1,skilled,yes,1,1
7253.0,male single,car,35.0,own,2,high qualif/self emp/mgmt,yes,1,1
2292.0,male single,car,42.0,own,2,high qualif/self emp/mgmt,yes,1,0
1597.0,male single,no known property,40.0,rent,1,unskilled resident,none,0,1
1381.0,female div/dep/mar,life insurance,35.0,own,1,skilled,none,1,0
5842.0,male single,life insurance,35.0,own,2,skilled,yes,1,1
2579.0,male single,real estate,33.0,own,1,unskilled resident,none,1,0
8471.0,female div/dep/mar,car,23.0,rent,2,skilled,yes,1,1
2782.0,female div/dep/mar,car,31.0,own,1,high qualif/self emp/mgmt,none,1,1
1042.0,female div/dep/mar,life insurance,33.0,own,1,skilled,none,1,0
3186.0,female div/dep/mar,car,20.0,rent,1,skilled,none,1,1
2028.0,male single,car,30.0,own,1,skilled,none,1,1
958.0,male single,real estate,47.0,own,2,unskilled resident,none,1,1
1591.0,male single,real estate,34.0,own,2,high qualif/self emp/mgmt,none,1,1
2762.0,female div/dep/mar,life insurance,25.0,own,1,skilled,yes,1,0
2779.0,male mar/wid,car,21.0,rent,1,skilled,yes,1,1
2743.0,male single,car,29.0,own,2,skilled,none,1,1
1149.0,male single,real estate,46.0,own,2,skilled,none,1,1
1313.0,male single,car,20.0,own,1,skilled,none,1,1
1190.0,female div/dep/mar,no known property,55.0,for free,3,unemp/unskilled non res,none,1,0
3448.0,male single,real estate,74.0,own,1,unskilled resident,none,1,1
11328.0,male single,car,29.0,own,2,high qualif/self emp/mgmt,yes,1,0
1872.0,male single,no known property,36.0,for free,3,high qualif/self emp/mgmt,yes,1,1
2058.0,male div/sep,real estate,33.0,own,2,skilled,yes,1,1
2136.0,male single,real estate,25.0,own,1,skilled,none,1,1
1484.0,male mar/wid,real estate,25.0,own,1,skilled,yes,1,0
660.0,male mar/wid,real estate,23.0,rent,1,unskilled resident,none,1,1
1287.0,female div/dep/mar,real estate,37.0,own,2,skilled,yes,1,1
3394.0,male single,car,65.0,own,2,unemp/unskilled non res,none,1,1
609.0,female div/dep/mar,real estate,26.0,own,1,unemp/unskilled non res,none,1,0
1884.0,male single,car,39.0,own,1,high qualif/self emp/mgmt,yes,1,1
1620.0,female div/dep/mar,life insurance,30.0,own,1,skilled,none,1,1
2629.0,male single,car,29.0,own,2,skilled,yes,1,1
719.0,male single,car,41.0,own,1,unskilled resident,none,1,0
5096.0,female div/dep/mar,car,30.0,own,1,high qualif/self emp/mgmt,yes,1,0
1244.0,female div/dep/mar,life insurance,41.0,rent,2,unskilled resident,none,1,1
1842.0,female div/dep/mar,car,34.0,own,1,skilled,yes,1,0
2576.0,male single,real estate,35.0,own,1,skilled,none,1,1
1424.0,female div/dep/mar,real estate,55.0,own,1,high qualif/self emp/mgmt,yes,1,1
1512.0,male mar/wid,life insurance,61.0,own,2,skilled,none,1,0
11054.0,male single,car,30.0,own,1,high qualif/self emp/mgmt,yes,1,1
518.0,female div/dep/mar,real estate,29.0,own,1,skilled,none,1,1
2759.0,male single,life insurance,34.0,own,2,skilled,none,1,1
2670.0,male single,car,35.0,own,1,high qualif/self emp/mgmt,yes,1,1
4817.0,male single,life insurance,31.0,own,1,skilled,yes,1,0
2679.0,female div/dep/mar,no known property,29.0,own,1,high qualif/self emp/mgmt,yes,1,1
3905.0,male single,real estate,36.0,rent,2,skilled,none,1,1
3386.0,male single,no known property,35.0,for free,1,skilled,yes,1,0
343.0,female div/dep/mar,real estate,27.0,own,1,skilled,none,1,1
4594.0,male single,car,32.0,own,1,skilled,yes,1,1
3620.0,male single,life insurance,37.0,own,1,skilled,none,1,1
1721.0,male single,real estate,36.0,own,1,skilled,none,1,1
3017.0,female div/dep/mar,real estate,34.0,rent,1,high qualif/self emp/mgmt,none,1,1
754.0,male single,life insurance,38.0,own,2,skilled,none,1,1
1950.0,male single,car,34.0,own,2,skilled,yes,1,1
2924.0,male single,no known property,63.0,own,1,skilled,yes,1,1
1659.0,female div/dep/mar,car,29.0,rent,1,unskilled resident,yes,1,0
7238.0,male single,car,32.0,own,2,skilled,none,1,1
2764.0,female div/dep/mar,car,26.0,own,2,skilled,yes,1,1
4679.0,male single,car,35.0,own,2,unskilled resident,yes,1,1
3092.0,male mar/wid,car,22.0,rent,1,skilled,yes,1,0
448.0,female div/dep/mar,life insurance,23.0,own,1,skilled,none,1,0
654.0,male single,car,28.0,own,1,unskilled resident,none,1,0
1238.0,male single,life insurance,36.0,own,1,high qualif/self emp/mgmt,yes,1,1
1245.0,male mar/wid,car,33.0,own,1,skilled,none,1,0
3114.0,female div/dep/mar,life insurance,26.0,rent,1,skilled,none,1,0
2569.0,male single,car,24.0,own,1,skilled,none,1,1
5152.0,male single,car,25.0,own,1,skilled,none,1,1
1037.0,male single,real estate,39.0,own,1,unskilled resident,none,1,1
1478.0,male single,car,44.0,own,2,skilled,yes,1,1
3573.0,female div/dep/mar,real estate,23.0,own,1,unskilled resident,none,1,1
1201.0,male single,life insurance,26.0,own,1,skilled,none,1,1
3622.0,female div/dep/mar,life insurance,57.0,rent,2,skilled,yes,1,1
960.0,female div/dep/mar,life insurance,30.0,own,2,skilled,none,1,1
1163.0,male single,real estate,44.0,own,1,skilled,yes,1,1
1209.0,male single,life insurance,47.0,own,1,high qualif/self emp/mgmt,yes,1,0
3077.0,male single,car,52.0,own,1,skilled,yes,1,1
3757.0,female div/dep/mar,no known property,62.0,for free,1,skilled,yes,1,1
1418.0,male single,real estate,35.0,rent,1,unskilled resident,none,0,1
3518.0,male single,life insurance,26.0,rent,1,skilled,none,1,1
1934.0,male single,no known property,26.0,own,2,skilled,none,1,1
8318.0,female div/dep/mar,no known property,42.0,for free,2,high qualif/self emp/mgmt,yes,1,0
1237.0,female div/dep/mar,life insurance,27.0,own,2,skilled,none,1,1
368.0,male single,life insurance,38.0,own,1,skilled,none,1,1
2122.0,male single,real estate,39.0,rent,2,unskilled resident,none,0,1
2996.0,male mar/wid,car,20.0,own,1,skilled,none,1,0
9034.0,male single,no known property,29.0,rent,1,high qualif/self emp/mgmt,yes,1,0
1585.0,male single,life insurance,40.0,own,2,skilled,none,1,1
1301.0,male mar/wid,real estate,32.0,own,1,unskilled resident,none,1,1
1323.0,male div/sep,car,28.0,own,2,skilled,yes,1,1
3123.0,female div/dep/mar,life insurance,27.0,own,1,skilled,none,1,0
5493.0,male single,no known property,42.0,for free,1,skilled,none,1,1
1126.0,male div/sep,real estate,49.0,own,1,skilled,none,1,1
1216.0,male single,no known property,38.0,own,2,skilled,none,1,0
1207.0,female div/dep/mar,life insurance,24.0,rent,1,skilled,none,1,0
1309.0,male single,life insurance,27.0,own,1,unskilled resident,none,1,0
2360.0,male single,car,36.0,own,1,skilled,yes,1,1
6850.0,male single,life insurance,34.0,own,1,high qualif/self emp/mgmt,yes,1,0
1413.0,male mar/wid,life insurance,28.0,own,1,skilled,none,1,1
8588.0,male single,car,45.0,own,1,high qualif/self emp/mgmt,yes,1,1
759.0,male single,real estate,26.0,own,1,skilled,none,1,0
4686.0,male single,no known property,32.0,for free,1,high qualif/self emp/mgmt,yes,1,1
2687.0,male single,life insurance,26.0,rent,1,skilled,yes,1,1
585.0,male mar/wid,real estate,20.0,rent,2,skilled,none,1,1
2255.0,male single,life insurance,54.0,own,1,skilled,none,1,1
609.0,female div/dep/mar,life insurance,37.0,own,2,skilled,none,0,1
1361.0,male single,real estate,40.0,own,1,unskilled resident,none,0,1
7127.0,female div/dep/mar,life insurance,23.0,rent,2,skilled,yes,1,0
1203.0,male single,life insurance,43.0,own,1,skilled,yes,1,1
700.0,male single,no known property,36.0,for free,2,skilled,none,1,1
5507.0,male single,no known property,44.0,for free,2,skilled,none,1,1
3190.0,female div/dep/mar,real estate,24.0,own,1,skilled,none,1,0
7119.0,male single,no known property,53.0,for free,2,skilled,none,1,0
3488.0,female div/dep/mar,car,23.0,own,1,skilled,none,1,1
1113.0,female div/dep/mar,real estate,26.0,own,1,unskilled resident,none,1,1
7966.0,male single,car,30.0,own,2,skilled,none,1,1
1532.0,female div/dep/mar,car,31.0,own,1,skilled,none,1,1
1503.0,male single,real estate,42.0,own,2,unskilled resident,none,1,1
2302.0,male div/sep,car,31.0,rent,1,skilled,none,1,0
662.0,male single,real estate,41.0,own,1,unskilled resident,yes,1,1
2273.0,male single,car,32.0,own,2,skilled,none,1,1
2631.0,female div/dep/mar,car,28.0,rent,2,skilled,yes,1,0
1503.0,male mar/wid,real estate,41.0,rent,1,skilled,none,1,1
1311.0,male mar/wid,life insurance,26.0,own,1,skilled,yes,1,1
3105.0,male single,car,25.0,own,2,skilled,none,1,1
2319.0,male div/sep,car,33.0,rent,1,skilled,none,1,0
1374.0,female div/dep/mar,life insurance,75.0,own,1,high qualif/self emp/mgmt,yes,1,1
3612.0,female div/dep/mar,life insurance,37.0,own,1,skilled,yes,1,1
7763.0,male single,no known property,42.0,for free,1,high qualif/self emp/mgmt,none,1,0
3049.0,female div/dep/mar,life insurance,45.0,own,1,unskilled resident,none,1,1
1534.0,male mar/wid,real estate,23.0,rent,1,skilled,none,1,0
2032.0,male single,no known property,60.0,for free,2,skilled,yes,1,1
6350.0,male single,life insurance,31.0,own,1,skilled,none,1,0
2864.0,male single,real estate,34.0,own,1,unskilled resident,none,1,0
1255.0,male single,real estate,61.0,own,2,unskilled resident,none,1,1
1333.0,male single,real estate,43.0,for free,2,skilled,none,1,0
2022.0,female div/dep/mar,car,37.0,own,1,skilled,yes,1,1
1552.0,male single,car,32.0,own,1,skilled,none,1,1
626.0,female div/dep/mar,real estate,24.0,own,1,unskilled resident,none,1,0
8858.0,male single,no known property,35.0,for free,2,skilled,yes,1,1
996.0,female div/dep/mar,real estate,23.0,own,2,skilled,none,1,1
1750.0,male single,life insurance,45.0,own,1,unskilled resident,none,1,1
6999.0,male mar/wid,real estate,34.0,own,2,skilled,yes,1,0
1995.0,male single,car,27.0,own,1,skilled,none,1,1
1199.0,female div/dep/mar,life insurance,67.0,own,2,high qualif/self emp/mgmt,yes,1,1
1331.0,male single,car,22.0,own,1,skilled,none,1,0
2278.0,female div/dep/mar,car,28.0,own,2,skilled,none,1,0
5003.0,female div/dep/mar,life insurance,29.0,own,2,skilled,yes,1,0
3552.0,male single,car,27.0,own,1,skilled,none,1,0
1928.0,male single,real estate,31.0,own,2,unskilled resident,none,1,0
2964.0,male single,no known property,49.0,for free,1,skilled,yes,1,1
1546.0,male single,car,24.0,rent,1,unskilled resident,none,1,0
683.0,female div/dep/mar,life insurance,29.0,own,1,skilled,none,1,1
12389.0,male single,no known property,37.0,for free,1,skilled,yes,1,0
4712.0,male single,life insurance,37.0,own,2,high qualif/self emp/mgmt,yes,1,1
1553.0,female div/dep/mar,life insurance,23.0,rent,2,skilled,yes,1,1
1372.0,male div/sep,car,36.0,own,1,skilled,none,1,0
2578.0,male single,car,34.0,own,1,skilled,none,1,1
3979.0,male single,car,41.0,own,2,skilled,yes,1,1
6758.0,female div/dep/mar,car,31.0,own,1,skilled,yes,1,0
3234.0,female div/dep/mar,real estate,23.0,rent,1,unskilled resident,yes,1,0
5954.0,male single,car,38.0,own,1,skilled,none,1,1
5433.0,female div/dep/mar,life insurance,26.0,rent,1,high qualif/self emp/mgmt,yes,1,1
806.0,female div/dep/mar,life insurance,22.0,own,1,unskilled resident,none,1,1
1082.0,male single,car,27.0,own,2,unskilled resident,none,1,1
2788.0,female div/dep/mar,car,24.0,own,2,skilled,none,1,1
2930.0,female div/dep/mar,real estate,27.0,own,1,skilled,none,1,1
1927.0,female div/dep/mar,car,33.0,own,2,skilled,yes,1,1
2820.0,male div/sep,car,27.0,own,2,skilled,none,1,0
937.0,male mar/wid,car,27.0,own,2,unskilled resident,none,1,1
1056.0,male single,real estate,30.0,own,2,skilled,none,1,0
3124.0,male single,real estate,49.0,own,2,unskilled resident,none,1,1
1388.0,female div/dep/mar,real estate,26.0,rent,1,skilled,none,1,1
2384.0,male single,no known property,33.0,rent,1,unskilled resident,none,1,0
2133.0,female div/dep/mar,no known property,52.0,for free,1,high qualif/self emp/mgmt,yes,1,1
2039.0,female div/dep/mar,real estate,20.0,rent,1,skilled,none,1,0
2799.0,male single,real estate,36.0,rent,2,skilled,none,1,1
1289.0,male single,life insurance,21.0,own,1,unskilled resident,none,1,1
1217.0,male mar/wid,real estate,47.0,own,1,unskilled resident,yes,1,0
2246.0,male single,life insurance,60.0,own,2,skilled,none,1,0
385.0,female div/dep/mar,real estate,58.0,own,4,unskilled resident,yes,1,1
1965.0,female div/dep/mar,car,42.0,rent,2,skilled,yes,1,1
1572.0,female div/dep/mar,real estate,36.0,own,1,unskilled resident,none,1,1
2718.0,female div/dep/mar,life insurance,20.0,rent,1,unskilled resident,yes,1,0
1358.0,male single,car,40.0,own,1,high qualif/self emp/mgmt,yes,1,0
931.0,female div/dep/mar,life insurance,32.0,own,1,unskilled resident,none,1,0
1442.0,female div/dep/mar,car,23.0,rent,2,skilled,none,1,0
4241.0,male single,real estate,36.0,own,3,unskilled resident,yes,1,0
2775.0,male single,life insurance,31.0,own,2,skilled,none,1,0
3863.0,male single,no known property,32.0,for free,1,skilled,none,1,1
2329.0,female div/dep/mar,real estate,45.0,own,1,skilled,none,1,1
918.0,female div/dep/mar,life insurance,30.0,own,1,skilled,none,1,0
1837.0,female div/dep/mar,no known property,34.0,for free,1,unskilled resident,none,1,0
3349.0,female div/dep/mar,car,28.0,own,1,high qualif/self emp/mgmt,yes,1,0
1275.0,female div/dep/mar,life insurance,23.0,own,1,skilled,none,1,1
2828.0,male single,real estate,22.0,own,1,skilled,yes,1,1
4526.0,male single,real estate,74.0,own,1,high qualif/self emp/mgmt,yes,1,1
2671.0,female div/dep/mar,no known property,50.0,for free,1,skilled,none,1,0
2051.0,male single,real estate,33.0,own,1,skilled,none,1,1
1300.0,male single,no known property,45.0,for free,1,skilled,none,1,1
741.0,female div/dep/mar,life insurance,22.0,own,1,skilled,none,1,0
1240.0,female div/dep/mar,no known property,48.0,for free,1,unskilled resident,none,1,0
3357.0,female div/dep/mar,car,29.0,own,1,skilled,none,1,1
3632.0,female div/dep/mar,car,22.0,rent,1,skilled,none,0,1
1808.0,female div/dep/mar,real estate,22.0,own,1,skilled,none,1,0
12204.0,male single,car,48.0,own,1,high qualif/self emp/mgmt,yes,1,1
9157.0,male single,no known property,27.0,for free,1,high qualif/self emp/mgmt,none,1,1
3676.0,male single,real estate,37.0,rent,3,skilled,none,1,1
3441.0,female div/dep/mar,car,21.0,rent,1,skilled,none,1,0
640.0,male div/sep,real estate,49.0,own,1,unskilled resident,none,1,1
3652.0,male single,life insurance,27.0,own,2,skilled,none,1,1
1530.0,male single,life insurance,32.0,own,2,skilled,none,1,0
3914.0,male div/sep,real estate,38.0,own,1,skilled,none,1,0
1858.0,female div/dep/mar,car,22.0,rent,1,skilled,none,1,1
2600.0,male single,no known property,65.0,for free,2,skilled,none,1,0
1979.0,male single,car,35.0,own,1,skilled,none,1,1
2116.0,male single,real estate,41.0,own,1,skilled,yes,1,1
1437.0,male single,no known property,29.0,own,1,skilled,none,1,0
4042.0,male single,real estate,36.0,own,2,skilled,yes,1,1
3832.0,male single,real estate,64.0,own,1,unskilled resident,none,1,1
3660.0,female div/dep/mar,car,28.0,own,1,skilled,none,1,1
1553.0,male single,car,44.0,own,1,skilled,none,1,0
1444.0,male single,life insurance,23.0,own,1,skilled,none,1,1
1980.0,female div/dep/mar,car,19.0,rent,2,skilled,none,1,0
1355.0,female div/dep/mar,car,25.0,own,1,unskilled resident,yes,1,0
1393.0,male single,life insurance,47.0,own,3,skilled,yes,1,1
1376.0,female div/dep/mar,car,28.0,own,1,skilled,none,1,1
15653.0,male single,car,21.0,own,2,skilled,yes,1,1
1493.0,female div/dep/mar,car,34.0,own,1,skilled,none,1,1
4370.0,male single,life insurance,26.0,own,2,skilled,yes,1,0
750.0,female div/dep/mar,real estate,27.0,own,1,unemp/unskilled non res,none,1,0
1308.0,male single,car,38.0,own,2,unskilled resident,none,1,1
4623.0,male single,life insurance,40.0,own,1,high qualif/self emp/mgmt,yes,1,0
1851.0,male mar/wid,car,33.0,own,2,skilled,yes,1,1
1880.0,male mar/wid,life insurance,32.0,own,2,high qualif/self emp/mgmt,yes,1,1
7980.0,male single,car,27.0,rent,2,skilled,yes,1,0
4583.0,male div/sep,real estate,32.0,own,2,skilled,none,1,1
1386.0,female div/dep/mar,life insurance,26.0,own,1,skilled,none,1,0
947.0,male single,no known property,38.0,for free,1,skilled,none,1,0
684.0,male single,car,40.0,rent,1,unskilled resident,none,1,0
7476.0,male single,no known property,50.0,for free,1,high qualif/self emp/mgmt,yes,1,1
1922.0,male single,life insurance,37.0,own,1,unskilled resident,none,1,0
2303.0,male single,real estate,45.0,own,1,skilled,none,1,0
8086.0,male single,car,42.0,own,4,high qualif/self emp/mgmt,yes,1,0
2346.0,male single,car,35.0,own,2,skilled,yes,1,1
3973.0,male single,no known property,22.0,for free,1,skilled,none,1,1
888.0,male single,car,41.0,own,1,unskilled resident,none,1,0
10222.0,male single,car,37.0,own,1,skilled,yes,1,1
4221.0,female div/dep/mar,car,28.0,own,2,skilled,none,1,1
6361.0,male single,no known property,41.0,own,1,skilled,yes,1,1
1297.0,male mar/wid,real estate,23.0,rent,1,skilled,none,1,1
900.0,male mar/wid,car,23.0,own,1,skilled,none,1,0
2241.0,male single,real estate,50.0,own,2,skilled,none,1,1
1050.0,male single,life insurance,35.0,own,2,high qualif/self emp/mgmt,yes,1,1
1047.0,female div/dep/mar,life insurance,50.0,own,1,unskilled resident,none,1,1
6314.0,male single,no known property,27.0,own,2,high qualif/self emp/mgmt,yes,1,1
3496.0,male single,car,34.0,own,1,skilled,yes,1,1
3609.0,female div/dep/mar,real estate,27.0,own,1,skilled,none,1,1
4843.0,male single,life insurance,43.0,rent,2,skilled,yes,1,0
3017.0,male single,life insurance,47.0,own,1,skilled,none,1,1
4139.0,male single,life insurance,27.0,own,2,unskilled resident,yes,1,1
5742.0,male single,car,31.0,own,2,skilled,yes,1,1
10366.0,male single,life insurance,42.0,own,1,high qualif/self emp/mgmt,yes,1,1
2080.0,male mar/wid,car,24.0,own,1,skilled,none,1,1
2580.0,male single,real estate,41.0,own,1,unskilled resident,none,1,0
4530.0,female div/dep/mar,car,26.0,rent,1,high qualif/self emp/mgmt,yes,1,1
5150.0,male single,car,33.0,own,1,skilled,yes,1,1
5595.0,male mar/wid,car,24.0,own,1,skilled,none,1,0
2384.0,male single,real estate,64.0,rent,1,unskilled resident,none,1,1
1453.0,female div/dep/mar,real estate,26.0,own,1,skilled,none,1,1
1538.0,female div/dep/mar,no known property,56.0,own,1,skilled,none,1,1
2279.0,male single,no known property,37.0,for free,1,skilled,yes,1,1
1478.0,male mar/wid,real estate,33.0,own,2,skilled,none,1,1
5103.0,male mar/wid,no known property,47.0,for free,3,skilled,yes,1,1
9857.0,male single,life insurance,31.0,own,2,unskilled resident,yes,1,1
6527.0,male single,no known property,34.0,for free,1,skilled,yes,1,1
1347.0,male single,life insurance,27.0,own,2,skilled,yes,1,1
2862.0,male single,no known property,30.0,for free,1,skilled,none,1,1
2753.0,male single,car,35.0,own,1,skilled,yes,1,1
3651.0,male single,life insurance,31.0,own,1,skilled,none,1,1
975.0,male div/sep,life insurance,25.0,own,2,skilled,none,1,1
2631.0,female div/dep/mar,real estate,25.0,own,1,unskilled resident,none,1,1
2896.0,male single,car,29.0,own,1,skilled,none,1,1
4716.0,male single,real estate,44.0,own,2,unskilled resident,none,1,1
2284.0,male single,car,28.0,own,1,skilled,yes,1,1
1236.0,male single,life insurance,50.0,rent,1,skilled,none,1,1
1103.0,male single,real estate,29.0,own,2,skilled,none,0,1
926.0,female div/dep/mar,life insurance,38.0,own,1,unemp/unskilled non res,none,1,1
1800.0,male single,car,24.0,own,2,skilled,none,1,1
1905.0,male single,car,40.0,rent,1,high qualif/self emp/mgmt,yes,1,1
1123.0,female div/dep/mar,car,29.0,rent,1,unskilled resident,none,1,0
6331.0,male single,no known property,46.0,for free,2,skilled,yes,1,0
1377.0,female div/dep/mar,no known property,47.0,for free,1,skilled,yes,1,1
2503.0,male single,life insurance,41.0,own,2,skilled,none,1,1
2528.0,female div/dep/mar,life insurance,32.0,own,1,skilled,yes,1,1
5324.0,female div/dep/mar,no known property,35.0,for free,1,skilled,none,1,1
6560.0,male single,life insurance,24.0,own,1,skilled,none,1,0
2969.0,female div/dep/mar,life insurance,25.0,rent,2,skilled,none,1,0
1206.0,female div/dep/mar,real estate,25.0,own,1,skilled,none,1,1
2118.0,male single,real estate,37.0,own,1,unskilled resident,none,1,1
629.0,male single,life insurance,32.0,own,2,high qualif/self emp/mgmt,yes,1,1
1198.0,female div/dep/mar,no known property,35.0,for free,1,skilled,none,1,0
2476.0,male single,real estate,46.0,own,1,high qualif/self emp/mgmt,yes,1,1
1138.0,male single,real estate,25.0,own,2,unskilled resident,none,1,1
14027.0,male single,no known property,27.0,own,1,high qualif/self emp/mgmt,yes,1,0
7596.0,male single,car,63.0,own,2,skilled,none,1,1
3077.0,male single,car,40.0,own,2,skilled,yes,1,1
1505.0,male single,no known property,32.0,for free,1,high qualif/self emp/mgmt,yes,1,1
3148.0,male single,car,31.0,own,2,skilled,yes,1,1
6148.0,male mar/wid,car,31.0,own,2,skilled,yes,1,1
1337.0,male single,car,34.0,own,2,high qualif/self emp/mgmt,yes,1,0
433.0,female div/dep/mar,life insurance,24.0,rent,1,skilled,none,1,0
1228.0,female div/dep/mar,real estate,24.0,own,1,unskilled resident,none,1,0
790.0,female div/dep/mar,real estate,66.0,own,1,unskilled resident,none,1,1
2570.0,female div/dep/mar,real estate,21.0,rent,1,skilled,none,1,0
250.0,female div/dep/mar,real estate,41.0,own,2,unskilled resident,none,1,1
1316.0,male mar/wid,life insurance,47.0,own,2,unskilled resident,none,1,1
1882.0,female div/dep/mar,car,25.0,rent,2,skilled,none,1,0
6416.0,female div/dep/mar,no known property,59.0,rent,1,skilled,none,1,0
1275.0,male div/sep,real estate,36.0,own,2,skilled,yes,1,1
6403.0,male single,car,33.0,own,1,skilled,none,1,1
1987.0,male single,real estate,21.0,rent,1,unskilled resident,none,1,0
760.0,female div/dep/mar,real estate,44.0,own,1,unskilled resident,none,1,1
2603.0,female div/dep/mar,car,28.0,rent,1,skilled,yes,1,1
3380.0,female div/dep/mar,real estate,37.0,own,1,skilled,none,1,1
3990.0,female div/dep/mar,no known property,29.0,own,1,unemp/unskilled non res,none,1,1
11560.0,female div/dep/mar,car,23.0,rent,2,high qualif/self emp/mgmt,none,1,0
4380.0,male single,car,35.0,own,1,unskilled resident,yes,1,1
6761.0,male single,no known property,45.0,own,2,high qualif/self emp/mgmt,yes,1,1
4280.0,female div/dep/mar,car,26.0,rent,2,unskilled resident,none,1,0
2325.0,male single,car,32.0,own,1,skilled,none,1,1
1048.0,male single,real estate,23.0,own,1,unskilled resident,none,1,1
3160.0,male single,life insurance,41.0,own,1,skilled,yes,1,1
2483.0,male single,real estate,22.0,own,1,skilled,yes,1,1
14179.0,male single,life insurance,30.0,own,2,high qualif/self emp/mgmt,yes,1,1
1797.0,male single,life insurance,28.0,own,2,unskilled resident,none,1,1
2511.0,female div/dep/mar,car,23.0,rent,1,skilled,none,1,1
1274.0,female div/dep/mar,real estate,37.0,own,1,unskilled resident,none,1,0
5248.0,male single,car,26.0,own,1,skilled,none,1,1
3029.0,male single,car,33.0,own,1,skilled,none,1,1
428.0,female div/dep/mar,life insurance,49.0,own,1,skilled,yes,1,1
976.0,female div/dep/mar,car,23.0,own,1,unskilled resident,none,1,0
841.0,female div/dep/mar,real estate,23.0,rent,1,unskilled resident,none,1,1
5771.0,female div/dep/mar,car,25.0,own,2,skilled,none,1,1
1555.0,male single,no known property,55.0,for free,2,skilled,none,1,0
1285.0,female div/dep/mar,no known property,32.0,rent,1,skilled,none,1,0
1299.0,male single,real estate,74.0,own,3,unemp/unskilled non res,none,0,1
1271.0,male single,no known property,39.0,for free,2,skilled,yes,1,0
1393.0,male single,real estate,31.0,own,1,skilled,yes,1,1
691.0,male single,life insurance,35.0,own,2,skilled,none,1,0
5045.0,female div/dep/mar,car,59.0,own,1,skilled,yes,1,1
2124.0,female div/dep/mar,real estate,24.0,rent,2,skilled,none,1,0
2214.0,male single,life insurance,24.0,own,1,unskilled resident,none,1,1
12680.0,male single,no known property,30.0,for free,1,high qualif/self emp/mgmt,yes,1,0
2463.0,male mar/wid,life insurance,27.0,own,2,skilled,yes,1,1
1155.0,male mar/wid,real estate,40.0,own,2,unskilled resident,none,1,1
3108.0,male div/sep,life insurance,31.0,own,1,unskilled resident,none,1,0
2901.0,female div/dep/mar,real estate,31.0,rent,1,skilled,none,1,1
3617.0,male single,car,28.0,rent,3,skilled,yes,1,1
1655.0,male single,real estate,63.0,own,2,unskilled resident,yes,1,1
2812.0,female div/dep/mar,real estate,26.0,rent,1,skilled,none,1,1
8065.0,female div/dep/mar,no known property,25.0,own,2,high qualif/self emp/mgmt,yes,1,0
3275.0,male single,car,36.0,own,1,high qualif/self emp/mgmt,yes,1,1
2223.0,male single,life insurance,52.0,own,2,skilled,none,1,1
1480.0,male single,no known property,66.0,for free,3,unemp/unskilled non res,none,1,1
1371.0,female div/dep/mar,real estate,25.0,rent,1,skilled,none,1,0
3535.0,male single,car,37.0,own,2,skilled,yes,1,1
3509.0,female div/dep/mar,real estate,25.0,own,1,skilled,none,1,1
5711.0,male single,car,38.0,own,2,high qualif/self emp/mgmt,yes,1,1
3872.0,female div/dep/mar,car,67.0,own,1,skilled,yes,1,1
4933.0,male single,real estate,25.0,own,2,skilled,none,1,0
1940.0,male single,real estate,60.0,own,1,skilled,yes,1,1
1410.0,male single,real estate,31.0,own,1,unskilled resident,yes,1,1
836.0,female div/dep/mar,life insurance,23.0,own,1,unskilled resident,none,1,0
6468.0,male div/sep,real estate,60.0,own,1,high qualif/self emp/mgmt,yes,1,1
1941.0,male single,life insurance,35.0,own,1,unskilled resident,yes,1,1
2675.0,male single,car,40.0,own,1,skilled,none,1,1
2751.0,male single,car,38.0,own,2,skilled,yes,1,1
6224.0,male single,no known property,50.0,for free,1,skilled,none,1,0
5998.0,male single,no known property,27.0,own,1,skilled,yes,1,0
1188.0,female div/dep/mar,life insurance,39.0,own,1,skilled,none,1,0
6313.0,male single,car,41.0,own,1,high qualif/self emp/mgmt,yes,1,1
1221.0,male mar/wid,life insurance,27.0,own,2,skilled,none,1,1
2892.0,male div/sep,no known property,51.0,for free,1,skilled,none,1,1
3062.0,male single,no known property,32.0,rent,1,skilled,yes,1,1
2301.0,female div/dep/mar,life insurance,22.0,rent,1,skilled,none,1,1
7511.0,male single,life insurance,51.0,for free,1,skilled,yes,1,0
1258.0,female div/dep/mar,life insurance,22.0,rent,2,unskilled resident,none,1,1
717.0,male mar/wid,car,54.0,own,2,skilled,yes,1,1
1549.0,male single,real estate,35.0,own,1,unemp/unskilled non res,none,1,1
